"BatterHand","BattedBallType","Location","Result","ExpOBP","ExpSLG","Exp2OPS","ExpOBP_sd","ExpSLG_sd","Exp2OPS_sd","ExpOBP_n","ExpSLG_n","Exp2OPS_n"
"L","LD/FB","7","HR",0.556099108018545,1.85620007609975,0.933856186577093,0.261238648096765,1.12689100885263,0.512307516799245,5,5,5
"L","LD/FB","7","ROE",0.0425477358758723,0.133586216287776,0.0686391224255864,0.0210729008646575,0.0575268999053618,0.0292151310849556,6,6,6
"L","LD/FB","78","1B",0.62705449442207,1.51626198449754,0.860751541671687,0.184824726290908,0.879706236923694,0.347476939161544,28,28,28
"L","LD/FB","78","2B",0.432363436030659,1.00435222672001,0.579790022657377,0.208322055036254,0.681056914420552,0.308716767814788,28,28,28
"L","LD/FB","78","3B",0.121395990268087,0.242791980536174,0.14972172133064,NA,NA,NA,1,1,1
"L","LD/FB","78","HR",0.465044655649724,0.851051353956315,0.547209089520282,0.434119356695115,0.980015264607156,0.572672723662951,2,2,2
"L","LD/FB","8","1B",0.660826041155057,1.58760391460041,0.90366939485467,0.146724139705898,0.760019472977224,0.293851043312895,51,51,51
"L","LD/FB","8","2B",0.374901220093576,0.788349852663562,0.47522730894088,0.168528151696987,0.443374981885484,0.211510670081605,11,11,11
"L","LD/FB","8","3B",0.469568032258557,1.16588543404177,0.654717029627107,0.122638543667173,0.98200117637948,0.396038259994963,4,4,4
"L","LD/FB","8","HR",0.36528968168504,1.13555448669654,0.585515648520369,0.203545555248074,0.795029650937253,0.375748956107249,10,10,10
"L","LD/FB","89","1B",0.604333047134191,1.43452067186341,0.820628950663843,0.246954586714219,0.874012588187425,0.391346027572485,27,27,27
"L","LD/FB","89","2B",0.457282581862691,1.18700031421836,0.654793567794977,0.195990408994942,0.721787188394598,0.334390110222935,15,15,15
"L","LD/FB","89","3B",0.384010430552556,0.768020861105112,0.473612864348152,0.18637431701929,0.37274863403858,0.229861657657124,2,2,2
"L","LD/FB","89","HR",0.520525037867043,1.27488262432213,0.719925062898702,0.276470929127789,0.794795733082874,0.40147425928225,16,16,16
"L","LD/FB","9","1B",0.706022133469207,1.70669001139081,0.968975879429486,0.125774313864327,0.87452028170067,0.327761426091113,65,65,65
"L","LD/FB","9","2B",0.717020513348232,2.0725215088683,1.09715212718676,0.265320397295398,1.2017921734541,0.52689223631128,31,31,31
"L","LD/FB","9","3B",0.269205749540391,0.269205749540391,0.242285174586352,NA,NA,NA,1,1,1
"L","LD/FB","9","HR",0.754796714604622,2.03163807259747,1.10493082914178,0.265877694010194,1.08622421234702,0.475690012500373,47,47,47
"L","PU","2","PO-F",0.413507449938692,0.929304423894599,0.544089029596792,0.144659232153835,0.874106308153281,0.3733423342716,2,2,2
"L","PU","3","PO",0.0506018251512672,0.0506018251512672,0.0455416426361405,NA,NA,NA,1,1,1
"L","PU","3","PO-F",0.219769785375731,0.663773248020227,0.34579396105299,0.357457371564589,1.06852725057825,0.558732392141883,3,3,3
"L","PU","4","PO",0.0435332672516558,0.0985253492531904,0.0575106345270018,0.0484799932811308,0.101110631072714,0.0599192848896536,17,17,17
"L","PU","5","PO",0.231443574336947,0.650376080656972,0.347943385676594,0.196455894416153,0.813966575028751,0.377348084002617,6,6,6
"L","PU","5","PO-F",0.186193926047181,0.297268002441181,0.204599225573796,0.257487972303242,0.256608591059194,0.226571177743951,8,8,8
"L","PU","6","PO",0.0912095897045363,0.192973694386737,0.116009998961483,0.15213325784847,0.354316967498163,0.197262057669533,41,41,41
"L","PU","6","PO-F",0.0493756803735148,0.123439200933787,0.0691259525229208,0,0.0349138784178119,0.011637959472604,2,2,2
"R","0","1","1B",0.392587137465431,0.776049836985554,0.481149323558929,0.163600408931494,0.504609380263664,0.228602142421175,11,11,11
"R","0","1","HIDP",0.21563033854609,0.430670034903745,0.265747203477366,NA,NA,NA,1,1,1
"R","0","1","ROE",0.180372848695726,0.501879439319287,0.26950442736734,0.0217597906477938,0.313901362754653,0.116430591181629,3,3,3
"R","0","2","1B",0.547980656983762,0.841782250135016,0.591116455669137,0.15259269665968,0.376757222698413,0.193470030432845,4,4,4
"R","0","2","HR",0.632988110826243,1.58264300347766,0.886240930627424,0,0.0674004592065341,0.0224668197355114,2,2,2
"R","0","3","HR",0.923606105297747,2.30968237942422,1.29327091947679,0,0.619969171760093,0.206656390586698,2,2,2
"R","0","4","HR",0.305437392170089,0.736854326967688,0.418699297885613,0.219787089190065,0.617882083144944,0.330506711589351,2,2,2
"R","0","7","SACBUNT",0.808542231442623,2.19983800341607,1.19145326562284,NA,NA,NA,1,1,1
"R","0","8","SACBUNT",0.103198208067192,0.275120563489938,0.150185839068055,0.00964852415223961,0.0792860602049436,0.0209611897153788,2,2,2
"R","0","9","SACBUNT",0.0930435693292024,0.214573720025703,0.124249262628449,0.0531130570448754,0.145571159408322,0.0783656754484775,3,3,3
"R","0",NA,"1B",0.477831997101257,1.19456968767498,0.668961360915705,0.252460855693087,0.836224784260376,0.398147218996094,102,102,102
"R","0",NA,"2B",0.723519877766666,1.75166231875238,0.993882036985236,0.246546345694574,0.978179770261807,0.426806404505735,98,98,98
"R","0",NA,"3B",0.46567168103996,1.43384444847225,0.741828768746728,NA,NA,NA,1,1,1
"R","0",NA,"HR",0.802525961601574,2.13149342950579,1.16526252140949,0.289235331580704,1.19763925469048,0.514615655265229,19,19,19
"R","BT","1","1B",0.222619097451914,0.693826021203183,0.357426162290479,0.185577545030743,0.527443203678362,0.280839959143617,3,3,3
"R","BT","1","FC",0.72496829647032,2.34579794020516,1.1927480147349,NA,NA,NA,1,1,1
"R","BT","1","GO",0.17181066209737,0.343403778197731,0.21182730125442,NA,NA,NA,1,1,1
"R","BT","1","SACBUNT",0.222039843578551,0.849646077411197,0.409037937164911,0.139982595029182,0.590238102872507,0.275662383834851,4,4,4
"R","BT","2","GO",0.432001150331169,0.863999737113864,0.532800564225617,NA,NA,NA,1,1,1
"R","BT","2","PO-F",0.425638705544546,1.48687031208182,0.736818703835849,NA,NA,NA,1,1,1
"R","BT","3","SACBUNT",0.0774039987404616,0.232036433259691,0.121207743706159,NA,NA,NA,1,1,1
"R","BT","5","1B",0.284999729557042,0.47913585221324,0.321211797486737,0.137354444944094,0.0470418328785827,0.0692606946956526,3,3,3
"R","BT","5","GO",0.368682585945166,0.693475403409824,0.440078599838869,0.101404660848881,0.391297135324134,0.141169794997001,4,4,4
"R","FB","3","FO",0.0378012277262354,0.0734503759389944,0.0459041543578648,NA,NA,NA,1,1,1
"R","FB","4","FO",0.121920244958804,0.389035487045045,0.198766634491671,0.195371746599396,0.713070907758645,0.347335075871286,10,10,10
"R","FB","6","FO",0.143214059875958,0.483218355627878,0.242227419139003,0.241921475757786,0.869702353222029,0.425718351945441,8,8,8
"R","FB","7","FO",0.220036813580817,0.550348373220558,0.308136985435982,0.203496558284148,0.600970335819434,0.307435633601984,144,144,144
